AC/DC difference for Fluke 792 temelin, range 2.2 V, V/V, uncertainty in k=1, with flat extrapolation for lower voltages (0.0001 V) and high frequencies (100000000);;;;
          ; gain         ; gain         ; u(gain)     ; u(gain)
f (Hz)\U rms (V); 0.0001 ;    1.20      ;             ;
     1000   ;    9.21e-6   ;    9.21e-6   ;     1.5e-6  ;     1.5e-6
    15000   ;   13.04e-6   ;   13.04e-6   ;     1.5e-6  ;     1.5e-6
    30000   ;   15.18e-6   ;   15.18e-6   ;     1.5e-6  ;     1.5e-6
    45000   ;   20.02e-6   ;   20.02e-6   ;     2.5e-6  ;     2.5e-6
    60000   ;   25.93e-6   ;   25.93e-6   ;     4.0e-6  ;     4.0e-6
    75000   ;   29.70e-6   ;   29.70e-6   ;     4.0e-6  ;     4.0e-6
    90000   ;   32.13e-6   ;   32.13e-6   ;     5.0e-6  ;     5.0e-6
   105000   ;   34.16e-6   ;   34.16e-6   ;     5.0e-6  ;     5.0e-6
   120000   ;   39.24e-6   ;   39.24e-6   ;     5.0e-6  ;     5.0e-6
   135000   ;   42.73e-6   ;   42.73e-6   ;     5.0e-6  ;     5.0e-6
   150000   ;   46.50e-6   ;   46.50e-6   ;     5.0e-6  ;     5.0e-6
   165000   ;   49.36e-6   ;   49.36e-6   ;     5.0e-6  ;     5.0e-6
   180000   ;   50.11e-6   ;   50.11e-6   ;     5.0e-6  ;     5.0e-6
   195000   ;   56.65e-6   ;   56.65e-6   ;     5.0e-6  ;     5.0e-6
   210000   ;   57.36e-6   ;   57.36e-6   ;     5.0e-6  ;     5.0e-6
   225000   ;   58.31e-6   ;   58.31e-6   ;     5.0e-6  ;     5.0e-6
   240000   ;   65.58e-6   ;   65.58e-6   ;     5.0e-6  ;     5.0e-6
   255000   ;   70.41e-6   ;   70.41e-6   ;     5.0e-6  ;     5.0e-6
   270000   ;   74.32e-6   ;   74.32e-6   ;     5.0e-6  ;     5.0e-6
   285000   ;   73.87e-6   ;   73.87e-6   ;     5.0e-6  ;     5.0e-6
   300000   ;   72.19e-6   ;   72.19e-6   ;     5.0e-6  ;     5.0e-6
   315000   ;   69.09e-6   ;   69.09e-6   ;     8.5e-6  ;     8.5e-6
   330000   ;   71.31e-6   ;   71.31e-6   ;     8.5e-6  ;     8.5e-6
