AC/DC difference for simulated_acdc, range 1000 V;;;;
          ; gain         ; gain         ; u(gain)     ; u(gain)
f (Hz)U rms (V); 0.0001  ;    1000      ;             ;
10000;8.552395615600971e-08;8.552395615600971e-08;1e-08;1e-08
20000;1.435294932260082e-06;1.435294932260082e-06;1e-08;1e-08
30000;2.568605464142155e-06;2.568605464142155e-06;1e-08;1e-08
40000;3.59163863004515e-06;3.59163863004515e-06;1e-08;1e-08
50000;4.545192733890502e-06;4.545192733890502e-06;1e-08;1e-08
60000;5.450057635251415e-06;5.450057635251415e-06;1e-08;1e-08
70000;6.318514956559892e-06;6.318514956559892e-06;1e-08;1e-08
80000;7.158526529475923e-06;7.158526529475923e-06;1e-08;1e-08
90000;7.975596587057327e-06;7.975596587057327e-06;1e-08;1e-08
100000;8.773714703876917e-06;8.773714703876917e-06;1e-08;1e-08
110000;9.555879592836229e-06;9.555879592836229e-06;1e-08;1e-08
120000;1.03244110731347e-05;1.03244110731347e-05;1e-08;1e-08
130000;1.10811462876404e-05;1.10811462876404e-05;1e-08;1e-08
140000;1.182756865667917e-05;1.182756865667917e-05;1e-08;1e-08
150000;1.25648957470895e-05;1.25648957470895e-05;1e-08;1e-08
160000;1.329414098969718e-05;1.329414098969718e-05;1e-08;1e-08
170000;1.401615816193217e-05;1.401615816193217e-05;1e-08;1e-08
180000;1.473167416969193e-05;1.473167416969193e-05;1e-08;1e-08
190000;1.544131367891023e-05;1.544131367891023e-05;1e-08;1e-08
200000;1.614561794111592e-05;1.614561794111592e-05;1e-08;1e-08
210000;1.684505940034809e-05;1.684505940034809e-05;1e-08;1e-08
220000;1.754005318047043e-05;1.754005318047043e-05;1e-08;1e-08
230000;1.823096622906116e-05;1.823096622906116e-05;1e-08;1e-08
240000;1.891812467586487e-05;1.891812467586487e-05;1e-08;1e-08
250000;1.960181981341565e-05;1.960181981341565e-05;1e-08;1e-08
260000;2.02823130019428e-05;2.02823130019428e-05;1e-08;1e-08
270000;2.095983972545964e-05;2.095983972545964e-05;1e-08;1e-08
280000;2.163461297152162e-05;2.163461297152162e-05;1e-08;1e-08
290000;2.230682606723614e-05;2.230682606723614e-05;1e-08;1e-08
